wavenumber,col,mean_cancer,mean_control,sd_cancer,sd_control,p_value,p_adj,log2_fc,abs_diff,neg_log10p,cancer,display
1136.55,x_1136.55,-0.23630201118076932,-0.5371722660925602,0.37892691083284497,0.21585386227458145,4.318295536912158e-11,1.8352756031876672e-9,-1.1847563325013746,0.30087025491179087,8.736298708547581,OVA,Ovarian (OVC)
1138.48,x_1138.48,-0.13834945563061973,-0.4833416733158601,0.36162350563923934,0.22039240745933428,9.310424649383793e-14,2.378604174451017e-11,-1.8047338638697967,0.34499221768524035,10.623677823265105,OVA,Ovarian (OVC)
1140.4,x_1140.40,-0.027078576870409096,-0.41071598955359634,0.35502588388468714,0.23377475406631573,1.2355777480646614e-14,1.1552651944404584e-11,-3.922967055923859,0.38363741268318724,10.937318310783072,OVA,Ovarian (OVC)
1142.32,x_1142.32,0.06739456855001175,-0.3364360880355285,0.36614910281915636,0.25706855093427206,4.176622228158352e-14,1.9525708916640296e-11,NA,0.40383065658554024,10.709393189307466,OVA,Ovarian (OVC)
1144.24,x_1144.24,0.13609550856470395,-0.2677109938209441,0.37267810247855626,0.27818704303074737,1.924402227959752e-13,2.5704515473462406e-11,NA,0.4038065023856481,10.589990578110305,OVA,Ovarian (OVC)
1146.17,x_1146.17,0.1699615700772124,-0.21233806748604994,0.37322331946403414,0.29328972975740464,2.461683982821802e-12,1.2787080688546583e-10,NA,0.38229963756326235,9.89322859434615,OVA,Ovarian (OVC)
1148.09,x_1148.09,0.15222235499366876,-0.1916748910893079,0.367815966685088,0.2967407200874754,5.141732197022303e-11,2.090225914876458e-9,NA,0.34389724608297667,8.679806772127272,OVA,Ovarian (OVC)
1150.01,x_1150.01,0.08455039732591851,-0.20338117100306177,0.3541780741059627,0.29369105676106083,3.729583724498491e-9,6.117825934045771e-8,NA,0.28793156832898026,7.213402883833661,OVA,Ovarian (OVC)
1151.94,x_1151.94,-0.006425929531530587,-0.24118541036688204,0.3377454901037177,0.2875118611471475,2.1721268952821103e-7,1.809243944628267e-6,-5.230312216422849,0.23475948083535145,5.742502872242841,OVA,Ovarian (OVC)
1153.86,x_1153.86,-0.08593649911401713,-0.290622309397451,0.31444984751140237,0.2818655296374735,1.3531726662508494e-6,9.371973651441068e-6,-1.7578143676156697,0.20468581028343386,5.028168941057772,OVA,Ovarian (OVC)
1155.78,x_1155.78,-0.1636676878079723,-0.3415057492026484,0.2927850031181287,0.2732835788005713,9.68974932465232e-6,5.360896815710011e-5,-1.061144931599914,0.17783806139467612,4.2707625518120045,OVA,Ovarian (OVC)
1157.7,x_1157.70,-0.22168356298872335,-0.37399869970206495,0.28758722086519284,0.269713043310493,1.103359473407124e-4,4.912576703026958e-4,-0.7545341009629286,0.1523151367133416,3.308690655661546,OVA,Ovarian (OVC)
1159.63,x_1159.63,-0.25423993622390867,-0.3898218888336727,0.29830102272528514,0.2758449096852983,0.0010392515847584935,0.0036806826960196644,-0.6166264071756784,0.13558195260976402,2.434071620561333,OVA,Ovarian (OVC)
1161.55,x_1161.55,-0.27518783639985167,-0.40390213824577126,0.30609275767325794,0.2841289310318421,0.004032742140432789,0.012526956482739727,-0.5535907515734496,0.1287143018459196,1.902154431265003,OVA,Ovarian (OVC)
1163.47,x_1163.47,-0.29915824294689,-0.40830689354815397,0.31652730682327634,0.2847694222042592,0.026796933428165404,0.06085869816904908,-0.44874639903798325,0.109148650601264,1.215677341889868,OVA,Ovarian (OVC)
1165.4,x_1165.40,-0.31695928709937654,-0.4131365085315096,0.3335863062873468,0.28093922254057746,0.09550920986513148,0.1678592316238683,-0.38232207476354857,0.09617722143213309,0.7750547692026452,OVA,Ovarian (OVC)
1167.32,x_1167.32,-0.32686873208945655,-0.41626921118575416,0.34426124924388096,0.27781722598206154,0.12945243808786336,0.21248747294582654,-0.3488064262084778,0.08940047909629761,0.6726666683942217,OVA,Ovarian (OVC)
1169.24,x_1169.24,-0.3297887562998924,-0.4215343372120293,0.3593233171466496,0.27576875541060714,0.09899906498822265,0.17205227837172526,-0.3541088937914534,0.09174558091213691,0.7643395719374629,OVA,Ovarian (OVC)
1171.16,x_1171.16,-0.32709092793758554,-0.4314024308457853,0.3770507487217833,0.27623952440699634,0.057194881766457734,0.11117924002419538,-0.3993436262741583,0.10431150290819974,0.9539762989467336,OVA,Ovarian (OVC)
1173.09,x_1173.09,-0.3212784018285012,-0.4371860626372859,0.3832551237618197,0.2781145450096096,0.02563058694074171,0.05888107810710934,-0.44442460172165665,0.11590766080878467,1.2300242467058502,OVA,Ovarian (OVC)
1175.01,x_1175.01,-0.31370483676623756,-0.4495050260730795,0.39029825753254666,0.27376123721742684,0.011299853606963506,0.030273246769372146,-0.5189308633616183,0.13580018930684196,1.518940998983753,OVA,Ovarian (OVC)
1176.93,x_1176.93,-0.310510621012726,-0.4581176659871202,0.41614781165075654,0.27863842207103956,0.014266139678675942,0.0365447687659233,-0.5610770776703266,0.14760704497439425,1.437174781734619,OVA,Ovarian (OVC)
1178.86,x_1178.86,-0.3110025572730478,-0.4646209995462083,0.44611923729811814,0.28622305191888214,0.027657844603590737,0.06216366515470514,-0.5791294518666447,0.15361844227316046,1.206463387554342,OVA,Ovarian (OVC)
1180.78,x_1180.78,-0.3038357643491516,-0.4747527815210933,0.46931884670073154,0.2912747818967185,0.022610185664204523,0.05298376841110584,-0.6438864637089072,0.1709170171719417,1.2758571562323182,OVA,Ovarian (OVC)
1182.7,x_1182.70,-0.2907885275038575,-0.47933012855457496,0.48094308554316295,0.2924653264870594,0.010527562499186585,0.02853122010649118,-0.7210512240433312,0.1885416010507175,1.5446796558162392,OVA,Ovarian (OVC)
1184.63,x_1184.63,-0.28085991432267743,-0.47981516239588795,0.48639904101554776,0.28983656576528294,0.005812187636826942,0.017089293837840223,-0.7726301473827508,0.19895524807321052,1.7672758827833932,OVA,Ovarian (OVC)
1186.55,x_1186.55,-0.2719527501307968,-0.46505664121822315,0.4855413929072656,0.2911859033687407,0.005387408709537662,0.016144958793005492,-0.7740526264473513,0.19310389108742637,1.7919630591010263,OVA,Ovarian (OVC)
1188.47,x_1188.47,-0.26053989362570323,-0.45773633031655603,0.4743616391041253,0.2968323583797894,0.0028304952941998725,0.009221300000267878,-0.8130148945019133,0.1971964366908528,2.035207848670442,OVA,Ovarian (OVC)
