cancer,wavenumber,shap,abs_shap
PRC,689.15,0.03722721568918349,0.03722721568918349
PRC,691.08,0.11106746013630926,0.11106746013630926
PRC,693.0,0.04900147831698465,0.04900147831698465
PRC,694.93,0.009987525137161406,0.009987525137161406
PRC,696.86,0.017417742513723466,0.017417742513723466
PRC,698.79,0.006304105407678543,0.006304105407678543
PRC,700.72,-0.0037049943098671242,0.0037049943098671242
PRC,702.64,-0.11652010049960687,0.11652010049960687
PRC,704.57,-0.03565629258909883,0.03565629258909883
PRC,706.5,0.014037796614625241,0.014037796614625241
PRC,708.43,0.007698013715366314,0.007698013715366314
PRC,710.36,0.09798354339903785,0.09798354339903785
PRC,712.28,0.061839824879535384,0.061839824879535384
PRC,714.21,0.03538491111661481,0.03538491111661481
PRC,716.14,0.002581685923149553,0.002581685923149553
PRC,718.07,-0.06647092063405853,0.06647092063405853
PRC,719.99,-0.06258937546793436,0.06258937546793436
PRC,721.92,-0.14805469105285154,0.14805469105285154
PRC,723.85,-0.1604812259321055,0.1604812259321055
PRC,725.78,-0.17548305331114714,0.17548305331114714
PRC,727.71,-0.17818905126912407,0.17818905126912407
PRC,729.63,-0.18846944412055386,0.18846944412055386
PRC,731.56,-0.11932780722841177,0.11932780722841177
PRC,733.49,0.10159104128908612,0.10159104128908612
PRC,735.42,0.15309613112699189,0.15309613112699189
PRC,737.35,0.043715077061993214,0.043715077061993214
PRC,739.27,-0.06463971206856058,0.06463971206856058
PRC,741.2,-0.09404669668827374,0.09404669668827374
PRC,743.13,-0.0481679159671688,0.0481679159671688
PRC,745.06,0.018887664412804164,0.018887664412804164
PRC,746.99,0.0016672346229513614,0.0016672346229513614
PRC,748.91,-0.07069624397428499,0.07069624397428499
PRC,750.84,-0.0034050373977876306,0.0034050373977876306
PRC,752.77,0.07762601222943974,0.07762601222943974
PRC,754.7,0.07976604827276512,0.07976604827276512
PRC,756.62,0.06014188211302818,0.06014188211302818
PRC,758.55,-0.1069718384482292,0.1069718384482292
PRC,760.48,-0.11500786987128236,0.11500786987128236
PRC,762.41,0.03576121348478273,0.03576121348478273
PRC,764.34,0.10662785346445103,0.10662785346445103
PRC,766.26,0.06682115832226732,0.06682115832226732
PRC,768.19,-0.04592775340887135,0.04592775340887135
PRC,770.12,-0.0848423316508007,0.0848423316508007
PRC,772.05,-0.004833202301648444,0.004833202301648444
PRC,773.98,0.030243500596816877,0.030243500596816877
PRC,775.9,0.012195108207376014,0.012195108207376014
PRC,777.83,0.0008341326125977763,0.0008341326125977763
PRC,779.76,-0.024911421133690846,0.024911421133690846
PRC,781.69,-0.013575977923428812,0.013575977923428812
PRC,783.62,0.05860308379572757,0.05860308379572757
PRC,785.54,0.07153819248679157,0.07153819248679157
PRC,787.47,-0.05395847275550509,0.05395847275550509
PRC,789.4,-0.291684491802808,0.291684491802808
PRC,791.33,-0.3338916651011203,0.3338916651011203
PRC,793.25,0.15370574784303462,0.15370574784303462
PRC,795.18,0.19847958145162162,0.19847958145162162
PRC,797.11,-0.008297539211808378,0.008297539211808378
PRC,799.04,-0.046848229411685094,0.046848229411685094
PRC,800.97,0.05048805039641585,0.05048805039641585
PRC,802.89,-0.0946403235819827,0.0946403235819827
PRC,804.82,-0.029285841483744406,0.029285841483744406
PRC,806.75,-0.06546406252318783,0.06546406252318783
PRC,808.68,-0.07544540287554242,0.07544540287554242
PRC,810.61,0.05436337997518389,0.05436337997518389
PRC,812.53,0.16631976082001643,0.16631976082001643
PRC,814.46,-0.11590944733010558,0.11590944733010558
PRC,816.39,-0.024182890159672902,0.024182890159672902
PRC,818.32,0.02159623529797599,0.02159623529797599
PRC,820.25,0.00684676497273639,0.00684676497273639
PRC,822.17,0.0003478896198952577,0.0003478896198952577
PRC,824.1,0.035868882467871684,0.035868882467871684
PRC,826.03,0.01732414827034899,0.01732414827034899
PRC,827.96,-0.0015818577205135489,0.0015818577205135489
PRC,829.88,-0.013442752375690366,0.013442752375690366
PRC,831.81,-0.003995259298111233,0.003995259298111233
PRC,833.74,-0.00483540707882421,0.00483540707882421
PRC,835.67,-0.05628682559856235,0.05628682559856235
PRC,837.6,0.000573820932989541,0.000573820932989541
PRC,839.52,0.10487790564328438,0.10487790564328438
PRC,841.45,0.06248130552830052,0.06248130552830052
PRC,843.38,-0.08385388985854203,0.08385388985854203
PRC,845.31,-0.12896373772865308,0.12896373772865308
PRC,847.24,-0.0017289159844654106,0.0017289159844654106
PRC,849.16,0.1329592173410859,0.1329592173410859
PRC,851.09,-0.0097445901283912,0.0097445901283912
PRC,853.02,-0.08273089916778177,0.08273089916778177
PRC,854.95,-0.01854437625226062,0.01854437625226062
PRC,856.88,0.04837279115631433,0.04837279115631433
PRC,858.8,0.05842457228743433,0.05842457228743433
PRC,860.73,0.03827714688350723,0.03827714688350723
PRC,862.66,0.02153577799644184,0.02153577799644184
PRC,864.59,-0.06994990308183417,0.06994990308183417
