dataset,dataset_label,sample_id,comparison,similarity
lot_balanced_thermo,Thermo,BLC 29,Random other-group primary,0.4969619605211759
lot_balanced_thermo,Thermo,BLC 29,Random other-group primary,0.21361407662959184
lot_balanced_thermo,Thermo,BLC 29,Random other-group primary,0.24646901062668716
lot_balanced_thermo,Thermo,BLC 29,Random other-group primary,0.5611411479568776
lot_balanced_thermo,Thermo,BLC 29,Random other-group primary,0.2148093784034254
lot_balanced_thermo,Thermo,BLC 30,True same sample,0.7572050092675835
lot_balanced_thermo,Thermo,BLC 30,Best wrong primary,0.9136720893365804
lot_balanced_thermo,Thermo,BLC 30,Random same-group primary,0.7561751278182289
lot_balanced_thermo,Thermo,BLC 30,Random same-group primary,0.5192825888269109
lot_balanced_thermo,Thermo,BLC 30,Random same-group primary,-0.04260255212722635
lot_balanced_thermo,Thermo,BLC 30,Random same-group primary,0.419103169898992
lot_balanced_thermo,Thermo,BLC 30,Random same-group primary,0.7083677433448934
lot_balanced_thermo,Thermo,BLC 30,Random other-group primary,0.1334467211983313
lot_balanced_thermo,Thermo,BLC 30,Random other-group primary,0.16457359660635396
lot_balanced_thermo,Thermo,BLC 30,Random other-group primary,0.5061399843302503
